"Date","RSALES"
1947-01-01,44572
1947-02-01,45611
1947-03-01,44405
1947-04-01,45214
1947-05-01,45732
1947-06-01,45910
1947-07-01,45838
1947-08-01,45272
1947-09-01,45886
1947-10-01,46328
1947-11-01,46719
1947-12-01,46333
1948-01-01,45920
1948-02-01,45848
1948-03-01,46898
1948-04-01,47101
1948-05-01,45442
1948-06-01,46169
1948-07-01,46135
1948-08-01,46439
1948-09-01,46025
1948-10-01,46255
1948-11-01,46112
1948-12-01,47320
1949-01-01,45621
1949-02-01,46439
1949-03-01,46824
1949-04-01,47238
1949-05-01,46958
1949-06-01,46933
1949-07-01,46384
1949-08-01,46861
1949-09-01,47324
1949-10-01,47089
1949-11-01,47346
1949-12-01,46831
1950-01-01,48251
1950-02-01,49106
1950-03-01,49466
1950-04-01,49435
1950-05-01,50067
1950-06-01,51653
1950-07-01,55187
1950-08-01,55161
1950-09-01,52239
1950-10-01,50441
1950-11-01,49061
1950-12-01,51836
1951-01-01,54665
1951-02-01,53163
1951-03-01,50274
1951-04-01,49170
1951-05-01,49385
1951-06-01,49390
1951-07-01,48846
1951-08-01,49946
1951-09-01,49442
1951-10-01,49977
1951-11-01,49806
1951-12-01,48770
1952-01-01,49170
1952-02-01,50280
1952-03-01,48826
1952-04-01,49842
1952-05-01,51728
1952-06-01,52396
1952-07-01,50607
1952-08-01,49483
1952-09-01,50489
1952-10-01,52610
1952-11-01,52026
1952-12-01,53431
1953-01-01,53955
1953-02-01,53853
1953-03-01,54203
1953-04-01,53251
1953-05-01,53060
1953-06-01,52784
1953-07-01,52575
1953-08-01,52108
1953-09-01,52071
1953-10-01,52074
1953-11-01,51506
1953-12-01,51000
1954-01-01,50974
1954-02-01,52056
1954-03-01,52119
1954-04-01,52011
1954-05-01,51885
1954-06-01,53056
1954-07-01,52011
1954-08-01,52030
1954-09-01,52511
1954-10-01,52738
1954-11-01,53754
1954-12-01,54743
1955-01-01,55093
1955-02-01,55582
1955-03-01,55989
1955-04-01,56922
1955-05-01,56940
1955-06-01,56652
1955-07-01,57478
1955-08-01,57745
1955-09-01,58279
1955-10-01,58638
1955-11-01,58186
1955-12-01,57736
1956-01-01,57817
1956-02-01,57138
1956-03-01,58227
1956-04-01,57680
1956-05-01,58411
1956-06-01,58077
1956-07-01,57670
1956-08-01,57971
1956-09-01,58051
1956-10-01,57938
1956-11-01,58567
1956-12-01,58670
1957-01-01,58949
1957-02-01,59838
1957-03-01,58971
1957-04-01,59115
1957-05-01,59050
1957-06-01,59858
1957-07-01,59571
1957-08-01,59954
1957-09-01,59509
1957-10-01,59300
1957-11-01,58799
1957-12-01,58411
1958-01-01,58248
1958-02-01,57052
1958-03-01,56467
1958-04-01,57215
1958-05-01,57152
1958-06-01,57010
1958-07-01,57945
1958-08-01,58315
1958-09-01,57941
1958-10-01,57654
1958-11-01,58786
1958-12-01,60707
1959-01-01,60631
1959-02-01,61076
1959-03-01,61586
1959-04-01,61624
1959-05-01,62107
1959-06-01,62457
1959-07-01,62223
1959-08-01,62620
1959-09-01,61590
1959-10-01,61830
1959-11-01,60201
1959-12-01,59922
1960-01-01,61537
1960-02-01,61765
1960-03-01,61697
1960-04-01,63102
1960-05-01,61949
1960-06-01,61865
1960-07-01,61243
1960-08-01,61453
1960-09-01,61395
1960-10-01,61520
1960-11-01,60641
1960-12-01,60198
1961-01-01,60245
1961-02-01,60030
1961-03-01,60664
1961-04-01,59591
1961-05-01,60487
1961-06-01,60936
1961-07-01,60686
1961-08-01,61355
1961-09-01,61257
1961-10-01,62360
1961-11-01,62800
1961-12-01,62823
1962-01-01,63363
1962-02-01,63159
1962-03-01,64010
1962-04-01,64358
1962-05-01,64795
1962-06-01,63964
1962-07-01,64977
1962-08-01,65165
1962-09-01,65145
1962-10-01,66168
1962-11-01,66513
1962-12-01,66500
1963-01-01,66780
1963-02-01,66059
1963-03-01,66587
1963-04-01,66875
1963-05-01,66452
1963-06-01,66729
1963-07-01,67283
1963-08-01,66981
1963-09-01,67033
1963-10-01,67977
1963-11-01,67211
1963-12-01,68466
1964-01-01,68110
1964-02-01,68424
1964-03-01,68919
1964-04-01,69265
1964-05-01,70200
1964-06-01,70255
1964-07-01,70603
1964-08-01,71367
1964-09-01,72039
1964-10-01,69254
1964-11-01,69679
1964-12-01,72687
1965-01-01,73220
1965-02-01,73684
1965-03-01,72952
1965-04-01,73331
1965-05-01,74232
1965-06-01,73554
1965-07-01,74753
1965-08-01,74991
1965-09-01,75190
1965-10-01,76886
1965-11-01,77569
1965-12-01,77602
1966-01-01,78116
1966-02-01,77860
1966-03-01,78975
1966-04-01,77659
1966-05-01,76090
1966-06-01,77846
1966-07-01,77932
1966-08-01,78333
1966-09-01,78253
1966-10-01,77681
1966-11-01,77708
1966-12-01,77155
1967-01-01,73422
1967-02-01,72461
1967-03-01,73191
1967-04-01,73154
1967-05-01,72822
1967-06-01,74553
1967-07-01,73814
1967-08-01,73612
1967-09-01,75476
1967-10-01,74107
1967-11-01,75401
1967-12-01,77338
1968-01-01,75721
1968-02-01,76392
1968-03-01,78006
1968-04-01,77602
1968-05-01,77872
1968-06-01,78692
1968-07-01,79223
1968-08-01,80034
1968-09-01,78108
1968-10-01,79844
1968-11-01,81588
1968-12-01,79963
1969-01-01,80599
1969-02-01,80958
1969-03-01,79640
1969-04-01,79656
1969-05-01,80198
1969-06-01,79257
1969-07-01,78872
1969-08-01,79580
1969-09-01,80240
1969-10-01,80684
1969-11-01,80187
1969-12-01,80493
1970-01-01,80314
1970-02-01,80265
1970-03-01,79099
1970-04-01,79621
1970-05-01,80549
1970-06-01,80644
1970-07-01,81111
1970-08-01,80877
1970-09-01,80714
1970-10-01,80967
1970-11-01,78775
1970-12-01,80676
1971-01-01,82401
1971-02-01,83243
1971-03-01,83150
1971-04-01,84484
1971-05-01,83571
1971-06-01,84719
1971-07-01,84768
1971-08-01,85032
1971-09-01,86287
1971-10-01,87115
1971-11-01,87910
1971-12-01,87640
1972-01-01,86762
1972-02-01,87063
1972-03-01,89312
1972-04-01,89316
1972-05-01,90276
1972-06-01,90647
1972-07-01,90914
1972-08-01,91561
1972-09-01,92846
1972-10-01,93931
1972-11-01,94118
1972-12-01,96019
1973-01-01,97208
1973-02-01,97935
1973-03-01,97770
1973-04-01,96387
1973-05-01,95948
1973-06-01,96172
1973-07-01,96201
1973-08-01,94773
1973-09-01,95622
1973-10-01,95309
1973-11-01,95440
1973-12-01,92158
1974-01-01,92316
1974-02-01,91884
1974-03-01,92232
1974-04-01,92881
1974-05-01,92977
1974-06-01,92443
1974-07-01,93359
1974-08-01,94860
1974-09-01,91310
1974-10-01,89745
1974-11-01,88410
1974-12-01,86389
1975-01-01,88876
1975-02-01,89654
1975-03-01,87294
1975-04-01,88168
1975-05-01,92072
1975-06-01,91282
1975-07-01,91850
1975-08-01,92498
1975-09-01,92000
1975-10-01,92104
1975-11-01,91817
1975-12-01,92748
1976-01-01,94720
1976-02-01,93886
1976-03-01,94339
1976-04-01,96021
1976-05-01,94739
1976-06-01,96190
1976-07-01,96396
1976-08-01,95375
1976-09-01,94887
1976-10-01,95813
1976-11-01,95881
1976-12-01,98106
1977-01-01,96913
1977-02-01,98142
1977-03-01,98455
1977-04-01,99315
1977-05-01,98551
1977-06-01,98583
1977-07-01,99222
1977-08-01,98650
1977-09-01,98759
1977-10-01,100232
1977-11-01,100374
1977-12-01,100348
1978-01-01,97740
1978-02-01,99571
1978-03-01,101383
1978-04-01,103102
1978-05-01,102798
1978-06-01,103772
1978-07-01,102316
1978-08-01,103038
1978-09-01,102583
1978-10-01,103475
1978-11-01,104437
1978-12-01,105197
1979-01-01,103634
1979-02-01,103451
1979-03-01,104479
1979-04-01,103205
1979-05-01,103105
1979-06-01,102399
1979-07-01,100841
1979-08-01,103579
1979-09-01,103618
1979-10-01,101781
1979-11-01,102053
1979-12-01,101147
1980-01-01,101833
1980-02-01,99709
1980-03-01,96860
1980-04-01,94630
1980-05-01,93760
1980-06-01,94128
1980-07-01,95979
1980-08-01,96234
1980-09-01,95739
1980-10-01,97045
1980-11-01,96811
1980-12-01,96031
1981-01-01,97392
1981-02-01,97763
1981-03-01,97691
1981-04-01,96516
1981-05-01,95166
1981-06-01,95189
1981-07-01,94882
1981-08-01,95655
1981-09-01,94338
1981-10-01,92764
1981-11-01,92222
1981-12-01,92321
1982-01-01,91031
1982-02-01,93140
1982-03-01,92293
1982-04-01,92426
1982-05-01,92565
1982-06-01,90053
1982-07-01,91178
1982-08-01,90547
1982-09-01,91781
1982-10-01,92469
1982-11-01,93999
1982-12-01,94304
1983-01-01,93484
1983-02-01,93647
1983-03-01,96044
1983-04-01,95627
1983-05-01,96837
1983-06-01,98871
1983-07-01,99052
1983-08-01,97285
1983-09-01,98846
1983-10-01,99980
1983-11-01,100981
1983-12-01,101316
1984-01-01,102904
1984-02-01,102282
1984-03-01,101266
1984-04-01,102746
1984-05-01,103217
1984-06-01,104492
1984-07-01,102454
1984-08-01,101594
1984-09-01,102740
1984-10-01,102845
1984-11-01,104609
1984-12-01,103970
1985-01-01,104556
1985-02-01,105081
1985-03-01,105121
1985-04-01,106280
1985-05-01,106747
1985-06-01,105856
1985-07-01,105844
1985-08-01,107163
1985-09-01,109980
1985-10-01,106396
1985-11-01,106419
1985-12-01,107258
1986-01-01,107903
1986-02-01,107092
1986-03-01,106934
1986-04-01,108012
1986-05-01,109279
1986-06-01,108995
1986-07-01,109267
1986-08-01,110284
1986-09-01,116339
1986-10-01,111268
1986-11-01,110551
1986-12-01,115127
1987-01-01,107117
1987-02-01,112052
1987-03-01,112410
1987-04-01,112828
1987-05-01,112508
1987-06-01,113560
1987-07-01,114008
1987-08-01,115629
1987-09-01,113707
1987-10-01,113023
1987-11-01,113058
1987-12-01,114271
1988-01-01,114261
1988-02-01,114835
1988-03-01,116512
1988-04-01,115293
1988-05-01,116023
1988-06-01,116086
1988-07-01,115923
1988-08-01,116099
1988-09-01,115236
1988-10-01,117270
1988-11-01,117855
1988-12-01,118305
1989-01-01,118679
1989-02-01,116706
1989-03-01,116798
1989-04-01,118112
1989-05-01,118323
1989-06-01,117977
1989-07-01,118186
1989-08-01,120035
1989-09-01,119630
1989-10-01,117742
1989-11-01,118299
1989-12-01,118230
1990-01-01,120786
1990-02-01,119383
1990-03-01,119281
1990-04-01,118133
1990-05-01,117713
1990-06-01,118023
1990-07-01,117882
1990-08-01,117473
1990-09-01,117061
1990-10-01,116696
1990-11-01,116111
1990-12-01,114719
1991-01-01,111740
1991-02-01,113484
1991-03-01,114128
1991-04-01,115031
1991-05-01,114647
1991-06-01,114557
1991-07-01,114765
1991-08-01,113794
1991-09-01,113569
1991-10-01,112671
1991-11-01,112768
1991-12-01,112347
1992-01-01,114404
1992-02-01,115317
1992-03-01,114456
1992-04-01,114191
1992-05-01,114573
1992-06-01,114744
1992-07-01,114762
1992-08-01,115308
1992-09-01,116367
1992-10-01,117121
1992-11-01,117074
1992-12-01,117975
1993-01-01,118320
1993-02-01,117507
1993-03-01,116752
1993-04-01,118287
1993-05-01,119455
1993-06-01,119418
1993-07-01,120341
1993-08-01,120550
1993-09-01,120975
1993-10-01,121804
1993-11-01,122785
1993-12-01,123418
1994-01-01,122593
1994-02-01,124050
1994-03-01,125391
1994-04-01,125855
1994-05-01,124847
1994-06-01,125852
1994-07-01,125546
1994-08-01,127110
1994-09-01,127383
1994-10-01,129108
1994-11-01,128818
1994-12-01,128618
1995-01-01,129297
1995-02-01,126673
1995-03-01,127409
1995-04-01,127443
1995-05-01,128666
1995-06-01,129468
1995-07-01,129433
1995-08-01,129876
1995-09-01,130082
1995-10-01,129375
1995-11-01,130332
1995-12-01,131469
1996-01-01,130182
1996-02-01,131385
1996-03-01,132176
1996-04-01,132291
1996-05-01,132685
1996-06-01,132687
1996-07-01,132671
1996-08-01,132159
1996-09-01,133510
1996-10-01,134191
1996-11-01,133710
1996-12-01,133820
1997-01-01,134481
1997-02-01,135264
1997-03-01,135350
1997-04-01,134817
1997-05-01,132979
1997-06-01,134995
1997-07-01,136430
1997-08-01,136886
1997-09-01,136696
1997-10-01,136121
1997-11-01,136614
1997-12-01,137054
1998-01-01,137104
1998-02-01,137391
1998-03-01,138256
1998-04-01,139447
1998-05-01,140093
1998-06-01,141306
1998-07-01,139933
1998-08-01,139583
1998-09-01,141046
1998-10-01,142618
1998-11-01,143358
1998-12-01,144143
1999-01-01,145118
1999-02-01,146679
1999-03-01,146947
1999-04-01,147412
1999-05-01,148991
1999-06-01,149395
1999-07-01,150062
1999-08-01,151680
1999-09-01,151407
1999-10-01,151616
1999-11-01,153275
1999-12-01,155427
2000-01-01,155484
2000-02-01,156941
2000-03-01,157747
2000-04-01,156270
2000-05-01,156202
2000-06-01,155886
2000-07-01,156805
2000-08-01,156658
2000-09-01,157093
2000-10-01,156694
2000-11-01,155529
2000-12-01,155411
2001-01-01,156556
2001-02-01,155869
2001-03-01,155217
2001-04-01,156030
